           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV
                 496           69.2145940          -95.6683006          -26.4537065
                 497           69.1743787          -95.6280852          -26.4537066
                 498           69.1340543          -95.5877608          -26.4537065
                 499           69.0936210          -95.5473275          -26.4537065
                 500           69.0530788          -95.5067853          -26.4537065
                 501           69.0124282          -95.4661347          -26.4537065
                 502           68.9716692          -95.4253757          -26.4537065
                 503           68.9308019          -95.3845084          -26.4537066
                 504           68.8898266          -95.3435331          -26.4537066
                 505           68.8487436          -95.3024501          -26.4537065
                 506           68.8075532          -95.2612596          -26.4537064
                 507           68.7662556          -95.2199619          -26.4537064
                 508           68.7248510          -95.1785573          -26.4537063
                 509           68.6833398          -95.1370462          -26.4537063
                 510           68.6417224          -95.0954287          -26.4537063
                 511           68.5999988          -95.0537051          -26.4537063
                 512           68.5581694          -95.0118757          -26.4537063
                 513           68.5162344          -94.9699408          -26.4537064
                 514           68.4741940          -94.9279004          -26.4537064
                 515           68.4320487          -94.8857552          -26.4537065
                 516           68.3897988          -94.8435053          -26.4537065
                 517           68.3474444          -94.8011509          -26.4537064
                 518           68.3049859          -94.7586924          -26.4537065
                 519           68.2624236          -94.7161301          -26.4537065
                 520           68.2197577          -94.6734642          -26.4537064
                 521           68.1769887          -94.6306952          -26.4537065
                 522           68.1341166          -94.5878231          -26.4537065
                 523           68.0911418          -94.5448483          -26.4537065
                 524           68.0480646          -94.5017710          -26.4537064
                 525           68.0048855          -94.4585920          -26.4537065
                 526           67.9616050          -94.4153115          -26.4537066
                 527           67.9182231          -94.3719297          -26.4537066
                 528           67.8747403          -94.3284469          -26.4537066
                 529           67.8311569          -94.2848635          -26.4537066
                 530           67.7874730          -94.2411797          -26.4537067
                 531           67.7436893          -94.1973960          -26.4537067
                 532           67.6998063          -94.1535130          -26.4537067
                 533           67.6558242          -94.1095309          -26.4537067
                 534           67.6117435          -94.0654502          -26.4537067
                 535           67.5675648          -94.0212714          -26.4537066
                 536           67.5232886          -93.9769952          -26.4537066
                 537           67.4789147          -93.9326212          -26.4537066
                 538           67.4344435          -93.8881500          -26.4537065
                 539           67.3898758          -93.8435823          -26.4537065
                 540           67.3452118          -93.7989183          -26.4537065
                 541           67.3004520          -93.7541584          -26.4537064
                 542           67.2555967          -93.7093030          -26.4537064
                 543           67.2106463          -93.6643527          -26.4537064
                 544           67.1656014          -93.6193077          -26.4537063
                 545           67.1204624          -93.5741687          -26.4537063
                 546           67.0752299          -93.5289362          -26.4537063
                 547           67.0299043          -93.4836106          -26.4537063
                 548           66.9844862          -93.4381925          -26.4537064
                 549           66.9389760          -93.3926822          -26.4537062
                 550           66.8933744          -93.3470806          -26.4537062
                 551           66.8476816          -93.3013878          -26.4537062
                 552           66.8018983          -93.2556043          -26.4537060
                 553           66.7560247          -93.2097308          -26.4537061
                 554           66.7100615          -93.1637675          -26.4537060
                 555           66.6640092          -93.1177152          -26.4537060
                 556           66.6178685          -93.0715746          -26.4537061
                 557           66.5716398          -93.0253459          -26.4537061
                 558           66.5253237          -92.9790297          -26.4537060
                 559           66.4789211          -92.9326270          -26.4537059
                 560           66.4324323          -92.8861382          -26.4537059
                 561           66.3858579          -92.8395638          -26.4537058
                 562           66.3391986          -92.7929043          -26.4537058
                 563           66.2924546          -92.7461603          -26.4537057
                 564           66.2456268          -92.6993325          -26.4537057
                 565           66.1987158          -92.6524215          -26.4537056
                 566           66.1517222          -92.6054278          -26.4537055
                 567           66.1046465          -92.5583521          -26.4537055
                 568           66.0574895          -92.5111948          -26.4537053
                 569           66.0102518          -92.4639571          -26.4537054
                 570           65.9629339          -92.4166393          -26.4537054
                 571           65.9155365          -92.3692419          -26.4537054
                 572           65.8680601          -92.3217656          -26.4537055
                 573           65.8205052          -92.2742106          -26.4537054
                 574           65.7728727          -92.2265782          -26.4537055
